column,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count_before,outlier_count_after,handling
ASM_A_MeanT,-4.71,-4.5925,0.1175,-4.88625,-4.41625,4,0,IQR检测 + 分位边界截尾
ASD_A_SDevT,0.02,0.0975,0.0775,-0.09625,0.21375,6,0,IQR检测 + 分位边界截尾
BSM_B_MeanT,0.5225,1.1275,0.605,-0.385,2.035,0,0,IQR检测 + 分位边界截尾
BSD_B_SDevT,0.01,0.19,0.18,-0.26,0.46,0,0,IQR检测 + 分位边界截尾
CSM_C_MeanT,5.13,5.75,0.62,4.2,6.68,0,0,IQR检测 + 分位边界截尾
CSD_C_SDevT,0.01,0.18,0.17,-0.245,0.435,0,0,IQR检测 + 分位边界截尾
ISM_I_MeanT,1.84,2.65,0.81,0.625,3.865,0,0,IQR检测 + 分位边界截尾
ISD_I_SDevT,0.06,0.35,0.29,-0.375,0.785,0,0,IQR检测 + 分位边界截尾
ALM_A_MeanT,-4.71,-4.6,0.11,-4.875,-4.435,0,0,IQR检测 + 分位边界截尾
ALD_A_SDevT,0.06,0.13,0.07,-0.045,0.235,2,0,IQR检测 + 分位边界截尾
BLM_B_MeanT,0.5925,1.09,0.4975,-0.15375,1.83625,0,0,IQR检测 + 分位边界截尾
BLD_B_SDevT,0.07,0.31,0.24,-0.29,0.67,0,0,IQR检测 + 分位边界截尾
CLM_C_MeanT,5.16,5.7075,0.5475,4.33875,6.52875,0,0,IQR检测 + 分位边界截尾
CLD_C_SDevT,0.0625,0.2675,0.205,-0.245,0.575,0,0,IQR检测 + 分位边界截尾
ILM_I_MeanT,2.035,2.585,0.55,1.21,3.41,3,0,IQR检测 + 分位边界截尾
ILD_I_SDevT,0.22,0.545,0.325,-0.2675,1.0325,0,0,IQR检测 + 分位边界截尾
