column,mean_u,std_sigma,formula,need_scaling,reason
ASM_A_MeanT,-4.655162,0.108274,z = (x - u) / sigma,是,脉冲特征量纲不同，标准化有利于后续回归、SVM、聚类和距离度量类模型稳定训练。
ASD_A_SDevT,0.06625,0.054225,z = (x - u) / sigma,是,脉冲特征量纲不同，标准化有利于后续回归、SVM、聚类和距离度量类模型稳定训练。
BSM_B_MeanT,0.816494,0.326643,z = (x - u) / sigma,是,脉冲特征量纲不同，标准化有利于后续回归、SVM、聚类和距离度量类模型稳定训练。
BSD_B_SDevT,0.115065,0.111549,z = (x - u) / sigma,是,脉冲特征量纲不同，标准化有利于后续回归、SVM、聚类和距离度量类模型稳定训练。
CSM_C_MeanT,5.462143,0.312004,z = (x - u) / sigma,是,脉冲特征量纲不同，标准化有利于后续回归、SVM、聚类和距离度量类模型稳定训练。
CSD_C_SDevT,0.108312,0.100394,z = (x - u) / sigma,是,脉冲特征量纲不同，标准化有利于后续回归、SVM、聚类和距离度量类模型稳定训练。
ISM_I_MeanT,2.187727,0.544021,z = (x - u) / sigma,是,脉冲特征量纲不同，标准化有利于后续回归、SVM、聚类和距离度量类模型稳定训练。
ISD_I_SDevT,0.23013,0.186944,z = (x - u) / sigma,是,脉冲特征量纲不同，标准化有利于后续回归、SVM、聚类和距离度量类模型稳定训练。
ALM_A_MeanT,-4.653377,0.076906,z = (x - u) / sigma,是,脉冲特征量纲不同，标准化有利于后续回归、SVM、聚类和距离度量类模型稳定训练。
ALD_A_SDevT,0.096753,0.053605,z = (x - u) / sigma,是,脉冲特征量纲不同，标准化有利于后续回归、SVM、聚类和距离度量类模型稳定训练。
BLM_B_MeanT,0.842727,0.257057,z = (x - u) / sigma,是,脉冲特征量纲不同，标准化有利于后续回归、SVM、聚类和距离度量类模型稳定训练。
BLD_B_SDevT,0.199481,0.132488,z = (x - u) / sigma,是,脉冲特征量纲不同，标准化有利于后续回归、SVM、聚类和距离度量类模型稳定训练。
CLM_C_MeanT,5.454221,0.257015,z = (x - u) / sigma,是,脉冲特征量纲不同，标准化有利于后续回归、SVM、聚类和距离度量类模型稳定训练。
CLD_C_SDevT,0.188442,0.109788,z = (x - u) / sigma,是,脉冲特征量纲不同，标准化有利于后续回归、SVM、聚类和距离度量类模型稳定训练。
ILM_I_MeanT,2.262857,0.384812,z = (x - u) / sigma,是,脉冲特征量纲不同，标准化有利于后续回归、SVM、聚类和距离度量类模型稳定训练。
ILD_I_SDevT,0.395779,0.210265,z = (x - u) / sigma,是,脉冲特征量纲不同，标准化有利于后续回归、SVM、聚类和距离度量类模型稳定训练。
