column,missing_count,missing_ratio,handling_method,reason
ASM_A_MeanT,0,0.0,无需填补（原始数据无缺失）,该列未发现缺失值，保留原始观测。
ASD_A_SDevT,0,0.0,无需填补（原始数据无缺失）,该列未发现缺失值，保留原始观测。
BSM_B_MeanT,0,0.0,无需填补（原始数据无缺失）,该列未发现缺失值，保留原始观测。
BSD_B_SDevT,0,0.0,无需填补（原始数据无缺失）,该列未发现缺失值，保留原始观测。
CSM_C_MeanT,0,0.0,无需填补（原始数据无缺失）,该列未发现缺失值，保留原始观测。
CSD_C_SDevT,0,0.0,无需填补（原始数据无缺失）,该列未发现缺失值，保留原始观测。
ISM_I_MeanT,0,0.0,无需填补（原始数据无缺失）,该列未发现缺失值，保留原始观测。
ISD_I_SDevT,0,0.0,无需填补（原始数据无缺失）,该列未发现缺失值，保留原始观测。
ALM_A_MeanT,0,0.0,无需填补（原始数据无缺失）,该列未发现缺失值，保留原始观测。
ALD_A_SDevT,0,0.0,无需填补（原始数据无缺失）,该列未发现缺失值，保留原始观测。
BLM_B_MeanT,0,0.0,无需填补（原始数据无缺失）,该列未发现缺失值，保留原始观测。
BLD_B_SDevT,0,0.0,无需填补（原始数据无缺失）,该列未发现缺失值，保留原始观测。
CLM_C_MeanT,0,0.0,无需填补（原始数据无缺失）,该列未发现缺失值，保留原始观测。
CLD_C_SDevT,0,0.0,无需填补（原始数据无缺失）,该列未发现缺失值，保留原始观测。
ILM_I_MeanT,0,0.0,无需填补（原始数据无缺失）,该列未发现缺失值，保留原始观测。
ILD_I_SDevT,0,0.0,无需填补（原始数据无缺失）,该列未发现缺失值，保留原始观测。
DFlow,0,0.0,无需填补（原始数据无缺失）,该列未发现缺失值，保留原始观测。
DGap,0,0.0,无需填补（原始数据无缺失）,该列未发现缺失值，保留原始观测。
