feature,mean,median,std,min,max
ASM_A_MeanT,0.6267185149324872,0.5662701976901383,0.211423025898267,0.3333333333333333,0.9947089947089996
ASD_A_SDevT,0.6326107504861319,0.5719063545150502,0.18763061940282652,0.3440643863179074,1.0
BSM_B_MeanT,0.544465483815047,0.5045871559633028,0.18511868195933648,0.3333333333333333,1.0
BSD_B_SDevT,0.6746285964405672,0.6428571428571429,0.19694669999050943,0.3333333333333333,1.0
CSM_C_MeanT,0.7291304585282088,0.7142857142857141,0.18129362855879924,0.3649635036496352,1.0
CSD_C_SDevT,0.6827225549156635,0.6333333333333333,0.2071938743694209,0.3454545454545454,1.0
ISM_I_MeanT,0.5721759406468565,0.546875,0.1722598703649649,0.3333333333333333,0.9813084112149534
ISD_I_SDevT,0.6557359956881517,0.6087051618547682,0.18525030181887736,0.3333333333333333,1.0
ALM_A_MeanT,0.6113172423812994,0.6034482758620683,0.1850396345176007,0.3333333333333333,0.9722222222222228
ALD_A_SDevT,0.6696902527121741,0.6428571428571428,0.18716698584774924,0.3435114503816794,1.0
BLM_B_MeanT,0.5556013048669413,0.5163250211327133,0.18584397012758622,0.3333333333333333,0.9886363636363636
BLD_B_SDevT,0.6918031743232333,0.6762939958592133,0.16721104002896042,0.3381294964028777,1.0
CLM_C_MeanT,0.7169393158217828,0.675675675675676,0.16930800804592389,0.3768844221105528,1.0
CLD_C_SDevT,0.6817687548258797,0.6851851851851851,0.16543606721691617,0.3523809523809524,1.0
ILM_I_MeanT,0.5785924723108097,0.5602836879432623,0.166234560547016,0.3333333333333333,0.9875
ILD_I_SDevT,0.6888325017009179,0.6765892758430072,0.15889352511072075,0.3433962264150944,1.0
