sample_index,ASM_A_MeanT,ASD_A_SDevT,BSM_B_MeanT,BSD_B_SDevT,CSM_C_MeanT,CSD_C_SDevT,ISM_I_MeanT,ISD_I_SDevT,ALM_A_MeanT,ALD_A_SDevT,BLM_B_MeanT,BLD_B_SDevT,CLM_C_MeanT,CLD_C_SDevT,ILM_I_MeanT,ILD_I_SDevT
0,0.3462246777163904,0.38084632516703787,0.40441176470588236,0.41284403669724773,0.6493506493506497,0.45238095238095244,0.3511705685618729,0.3422222222222222,0.3333333333333333,0.569620253164557,0.3333333333333333,0.43119266055045874,0.652173913043478,0.9487179487179486,0.3333333333333333,0.4527363184079602
1,0.3462246777163904,0.38084632516703787,0.40441176470588236,0.41284403669724773,0.6493506493506497,0.45238095238095244,0.3511705685618729,0.3422222222222222,0.3333333333333333,0.569620253164557,0.3333333333333333,0.43119266055045874,0.652173913043478,0.9487179487179486,0.3333333333333333,0.4527363184079602
2,0.3462246777163904,0.38084632516703787,0.40441176470588236,0.41284403669724773,0.6493506493506497,0.45238095238095244,0.3511705685618729,0.3422222222222222,0.3333333333333333,0.569620253164557,0.3333333333333333,0.43119266055045874,0.652173913043478,0.9487179487179486,0.3333333333333333,0.4527363184079602
3,0.890995260663506,0.9395604395604396,1.0,0.8035714285714286,0.9259259259259258,0.7916666666666667,0.9633027522935779,0.8953488372093024,0.6999999999999992,0.9374999999999998,0.6126760563380281,0.8392857142857143,0.6147540983606554,0.880952380952381,0.5602836879432627,0.858490566037736
4,0.890995260663506,0.9395604395604396,1.0,0.8035714285714286,0.9259259259259258,0.7916666666666667,0.9633027522935779,0.8953488372093024,0.6999999999999992,0.9374999999999998,0.6126760563380281,0.8392857142857143,0.6147540983606554,0.880952380952381,0.5602836879432627,0.858490566037736
5,0.9170731707317101,0.9715909090909092,0.9821428571428572,0.8653846153846154,0.8928571428571435,0.7037037037037037,0.9545454545454545,0.8953488372093024,0.7608695652173891,0.8653846153846153,0.6041666666666666,0.8392857142857143,0.6250000000000004,0.9249999999999999,0.5724637681159422,0.8425925925925928
6,0.3737574552683899,0.42643391521197005,0.49549549549549554,0.569620253164557,0.49019607843137275,0.5588235294117647,0.4069767441860465,0.4842767295597484,0.42168674698795133,0.4736842105263159,0.4046511627906977,0.4845360824742268,0.6410256410256411,0.5068493150684932,0.38349514563106807,0.4482758620689655
7,0.7203065134099637,0.8636363636363636,0.6395348837209301,0.7258064516129032,0.609756097560976,0.9499999999999998,0.6862745098039217,0.9166666666666667,0.7608695652173921,0.9000000000000001,0.9062499999999998,0.9791666666666667,0.8928571428571431,0.8043478260869565,0.929411764705882,0.8425925925925928
8,0.6416382252559745,0.8636363636363636,0.5238095238095237,0.5487804878048781,0.5102040816326533,0.5,0.6907894736842105,0.8020833333333334,0.6250000000000009,0.7499999999999999,0.5437499999999998,0.6351351351351352,0.513698630136986,0.5967741935483871,0.6638655462184874,0.875
9,0.5513196480938439,0.6526717557251909,0.5392156862745098,0.5232558139534884,0.5102040816326533,0.5,0.8823529411764706,0.6637931034482758,0.5645161290322582,0.8035714285714286,0.5437499999999998,0.6184210526315789,0.513698630136986,0.5967741935483871,0.6752136752136751,0.875
