feature,gra_degree,spearman_rho,sign,signed_influence,rank,relationship_direction,association_level
CSM_C_MeanT,0.7291304585282088,0.6795599767382593,1,0.7291304585282088,1,Positive,Strong
CLM_C_MeanT,0.7169393158217828,0.6190221549376786,1,0.7169393158217828,2,Positive,Strong
BLD_B_SDevT,0.6918031743232333,0.4319901771560224,1,0.6918031743232333,3,Positive,Strong
ILD_I_SDevT,0.6888325017009179,0.4376554341479428,1,0.6888325017009179,4,Positive,Strong
CSD_C_SDevT,0.6827225549156635,0.47262858026887566,1,0.6827225549156635,5,Positive,Strong
CLD_C_SDevT,0.6817687548258797,0.3280029079244941,1,0.6817687548258797,6,Positive,Strong
BSD_B_SDevT,0.6746285964405672,0.4863644059702802,1,0.6746285964405672,7,Positive,Strong
ALD_A_SDevT,0.6696902527121741,0.20975811063045197,1,0.6696902527121741,8,Positive,Strong
ISD_I_SDevT,0.6557359956881517,0.26677894289758836,1,0.6557359956881517,9,Positive,Strong
ASD_A_SDevT,0.6326107504861319,0.1381637525835576,1,0.6326107504861319,10,Positive,Medium
ASM_A_MeanT,0.6267185149324872,-0.5294925915386066,-1,-0.6267185149324872,11,Negative,Medium
ALM_A_MeanT,0.6113172423812994,-0.5033582669516422,-1,-0.6113172423812994,12,Negative,Medium
ILM_I_MeanT,0.5785924723108097,-0.38869126668445386,-1,-0.5785924723108097,13,Negative,Medium
ISM_I_MeanT,0.5721759406468565,-0.4167174826659888,-1,-0.5721759406468565,14,Negative,Medium
BLM_B_MeanT,0.5556013048669413,-0.6009011400038717,-1,-0.5556013048669413,15,Negative,Medium
BSM_B_MeanT,0.544465483815047,-0.618837329218555,-1,-0.544465483815047,16,Negative,Medium
