feature,gra_degree,spearman_rho,sign,signed_influence,rank,relationship_direction,association_level,target
ASM_A_MeanT,0.7353717338177966,-0.06178957885466683,-1,-0.7353717338177966,1,Negative,Strong,DFlow
ALM_A_MeanT,0.7004205690152052,-0.22942270902853784,-1,-0.7004205690152052,2,Negative,Strong,DFlow
ALD_A_SDevT,0.695457846708373,0.20572517484988714,1,0.695457846708373,3,Positive,Strong,DFlow
CLD_C_SDevT,0.6817346315961765,0.2865029720122755,1,0.6817346315961765,4,Positive,Strong,DFlow
ILD_I_SDevT,0.6811041754510346,0.19687857503221934,1,0.6811041754510346,5,Positive,Strong,DFlow
BLD_B_SDevT,0.6747366251527953,0.3247249500382706,1,0.6747366251527953,6,Positive,Strong,DFlow
CLM_C_MeanT,0.6607034072673851,0.4455943865505872,1,0.6607034072673851,7,Positive,Strong,DFlow
ASD_A_SDevT,0.650190048287317,0.40775966555166426,1,0.650190048287317,8,Positive,Strong,DFlow
CSD_C_SDevT,0.6484806347420049,0.4375313961329994,1,0.6484806347420049,9,Positive,Medium,DFlow
ILM_I_MeanT,0.6477508339302491,-0.17653381030501614,-1,-0.6477508339302491,10,Negative,Medium,DFlow
ISD_I_SDevT,0.6399536113521238,0.32647598967351793,1,0.6399536113521238,11,Positive,Medium,DFlow
ISM_I_MeanT,0.6379472557820016,-0.0043629691932334964,-1,-0.6379472557820016,12,Negative,Medium,DFlow
CSM_C_MeanT,0.6325401603492247,0.2802672279619105,1,0.6325401603492247,13,Positive,Medium,DFlow
BSD_B_SDevT,0.6250564735634044,0.4275642029543931,1,0.6250564735634044,14,Positive,Medium,DFlow
BLM_B_MeanT,0.6013044867654824,-0.3587023843115988,-1,-0.6013044867654824,15,Negative,Medium,DFlow
BSM_B_MeanT,0.5916663014065481,-0.2213494141314534,-1,-0.5916663014065481,16,Negative,Medium,DFlow
CSM_C_MeanT,0.7291304585282088,0.6795599767382593,1,0.7291304585282088,1,Positive,Strong,DGap
CLM_C_MeanT,0.7169393158217828,0.6190221549376786,1,0.7169393158217828,2,Positive,Strong,DGap
BLD_B_SDevT,0.6918031743232333,0.4319901771560224,1,0.6918031743232333,3,Positive,Strong,DGap
ILD_I_SDevT,0.6888325017009179,0.4376554341479428,1,0.6888325017009179,4,Positive,Strong,DGap
CSD_C_SDevT,0.6827225549156635,0.47262858026887566,1,0.6827225549156635,5,Positive,Strong,DGap
CLD_C_SDevT,0.6817687548258797,0.3280029079244941,1,0.6817687548258797,6,Positive,Strong,DGap
BSD_B_SDevT,0.6746285964405672,0.4863644059702802,1,0.6746285964405672,7,Positive,Strong,DGap
ALD_A_SDevT,0.6696902527121741,0.20975811063045197,1,0.6696902527121741,8,Positive,Strong,DGap
ISD_I_SDevT,0.6557359956881517,0.26677894289758836,1,0.6557359956881517,9,Positive,Strong,DGap
ASD_A_SDevT,0.6326107504861319,0.1381637525835576,1,0.6326107504861319,10,Positive,Medium,DGap
ASM_A_MeanT,0.6267185149324872,-0.5294925915386066,-1,-0.6267185149324872,11,Negative,Medium,DGap
ALM_A_MeanT,0.6113172423812994,-0.5033582669516422,-1,-0.6113172423812994,12,Negative,Medium,DGap
ILM_I_MeanT,0.5785924723108097,-0.38869126668445386,-1,-0.5785924723108097,13,Negative,Medium,DGap
ISM_I_MeanT,0.5721759406468565,-0.4167174826659888,-1,-0.5721759406468565,14,Negative,Medium,DGap
BLM_B_MeanT,0.5556013048669413,-0.6009011400038717,-1,-0.5556013048669413,15,Negative,Medium,DGap
BSM_B_MeanT,0.544465483815047,-0.618837329218555,-1,-0.544465483815047,16,Negative,Medium,DGap
