feature,gra_degree,rank,target,rho
ASM_A_MeanT,0.6485118671886785,1,DFlow,0.3
ALM_A_MeanT,0.5994443280435484,2,DFlow,0.3
ALD_A_SDevT,0.5967394418485519,3,DFlow,0.3
CLD_C_SDevT,0.5781581710376154,4,DFlow,0.3
ILD_I_SDevT,0.577520697078427,5,DFlow,0.3
BLD_B_SDevT,0.5694462378032714,6,DFlow,0.3
CLM_C_MeanT,0.5536030012514648,7,DFlow,0.3
CSD_C_SDevT,0.5440766579691687,8,DFlow,0.3
ASD_A_SDevT,0.5423142481363206,9,DFlow,0.3
ILM_I_MeanT,0.5391400144336268,10,DFlow,0.3
ISD_I_SDevT,0.5313400343792947,11,DFlow,0.3
ISM_I_MeanT,0.5248551339106575,12,DFlow,0.3
CSM_C_MeanT,0.52406190990812,13,DFlow,0.3
BSD_B_SDevT,0.5138731872602691,14,DFlow,0.3
BLM_B_MeanT,0.4888453365832036,15,DFlow,0.3
BSM_B_MeanT,0.47792103409680253,16,DFlow,0.3
ASM_A_MeanT,0.7353717338177966,1,DFlow,0.5
ALM_A_MeanT,0.7004205690152052,2,DFlow,0.5
ALD_A_SDevT,0.695457846708373,3,DFlow,0.5
CLD_C_SDevT,0.6817346315961765,4,DFlow,0.5
ILD_I_SDevT,0.6811041754510346,5,DFlow,0.5
BLD_B_SDevT,0.6747366251527953,6,DFlow,0.5
CLM_C_MeanT,0.6607034072673851,7,DFlow,0.5
ASD_A_SDevT,0.650190048287317,8,DFlow,0.5
CSD_C_SDevT,0.6484806347420049,9,DFlow,0.5
ILM_I_MeanT,0.6477508339302491,10,DFlow,0.5
ISD_I_SDevT,0.6399536113521238,11,DFlow,0.5
ISM_I_MeanT,0.6379472557820016,12,DFlow,0.5
CSM_C_MeanT,0.6325401603492247,13,DFlow,0.5
BSD_B_SDevT,0.6250564735634044,14,DFlow,0.5
BLM_B_MeanT,0.6013044867654824,15,DFlow,0.5
BSM_B_MeanT,0.5916663014065481,16,DFlow,0.5
ASM_A_MeanT,0.786359951791812,1,DFlow,0.7
ALM_A_MeanT,0.7591631615336802,2,DFlow,0.7
ALD_A_SDevT,0.7540866842902135,3,DFlow,0.7
CLD_C_SDevT,0.7436376741569346,4,DFlow,0.7
ILD_I_SDevT,0.7428709206720581,5,DFlow,0.7
BLD_B_SDevT,0.7376987445621571,6,DFlow,0.7
CLM_C_MeanT,0.7255299732328163,7,DFlow,0.7
ASD_A_SDevT,0.7159967449826724,8,DFlow,0.7
ILM_I_MeanT,0.713736797851163,9,DFlow,0.7
CSD_C_SDevT,0.7129641939277195,10,DFlow,0.7
ISM_I_MeanT,0.7068307934006023,11,DFlow,0.7
ISD_I_SDevT,0.7066799816162704,12,DFlow,0.7
CSM_C_MeanT,0.6998946101662155,13,DFlow,0.7
BSD_B_SDevT,0.6937657101773607,14,DFlow,0.7
BLM_B_MeanT,0.6719515861402577,15,DFlow,0.7
BSM_B_MeanT,0.6636684790934612,16,DFlow,0.7
CSM_C_MeanT,0.6401262740553341,1,DGap,0.3
CLM_C_MeanT,0.6227400762639578,2,DGap,0.3
BLD_B_SDevT,0.5920653135226344,3,DGap,0.3
CSD_C_SDevT,0.5913529526677233,4,DGap,0.3
ILD_I_SDevT,0.5866379651477734,5,DGap,0.3
CLD_C_SDevT,0.5799045648834927,6,DGap,0.3
BSD_B_SDevT,0.5791943659590886,7,DGap,0.3
ALD_A_SDevT,0.571020824659496,8,DGap,0.3
ISD_I_SDevT,0.5545905954860136,9,DGap,0.3
ASD_A_SDevT,0.5293870159603834,10,DGap,0.3
ASM_A_MeanT,0.528858229929049,11,DGap,0.3
ALM_A_MeanT,0.5052241311972103,12,DGap,0.3
ILM_I_MeanT,0.46719404168031325,13,DGap,0.3
ISM_I_MeanT,0.461849726131753,14,DGap,0.3
BLM_B_MeanT,0.44778535614173526,15,DGap,0.3
BSM_B_MeanT,0.4365916580140851,16,DGap,0.3
CSM_C_MeanT,0.7291304585282088,1,DGap,0.5
CLM_C_MeanT,0.7169393158217828,2,DGap,0.5
BLD_B_SDevT,0.6918031743232333,3,DGap,0.5
ILD_I_SDevT,0.6888325017009179,4,DGap,0.5
CSD_C_SDevT,0.6827225549156635,5,DGap,0.5
CLD_C_SDevT,0.6817687548258797,6,DGap,0.5
BSD_B_SDevT,0.6746285964405672,7,DGap,0.5
ALD_A_SDevT,0.6696902527121741,8,DGap,0.5
ISD_I_SDevT,0.6557359956881517,9,DGap,0.5
ASD_A_SDevT,0.6326107504861319,10,DGap,0.5
ASM_A_MeanT,0.6267185149324872,11,DGap,0.5
ALM_A_MeanT,0.6113172423812994,12,DGap,0.5
ILM_I_MeanT,0.5785924723108097,13,DGap,0.5
ISM_I_MeanT,0.5721759406468565,14,DGap,0.5
BLM_B_MeanT,0.5556013048669413,15,DGap,0.5
BSM_B_MeanT,0.544465483815047,16,DGap,0.5
CSM_C_MeanT,0.7817918564075702,1,DGap,0.7
CLM_C_MeanT,0.7725984348961077,2,DGap,0.7
BLD_B_SDevT,0.7511513511508427,3,DGap,0.7
ILD_I_SDevT,0.749264027976568,4,DGap,0.7
CLD_C_SDevT,0.7425851129748815,5,DGap,0.7
CSD_C_SDevT,0.7392728953960003,6,DGap,0.7
BSD_B_SDevT,0.7333013134016777,7,DGap,0.7
ALD_A_SDevT,0.7299760608111303,8,DGap,0.7
ISD_I_SDevT,0.7178510646530956,9,DGap,0.7
ASD_A_SDevT,0.6969859686565781,10,DGap,0.7
ASM_A_MeanT,0.6890578730944414,11,DGap,0.7
ALM_A_MeanT,0.677877900364911,12,DGap,0.7
ILM_I_MeanT,0.6497436784734703,13,DGap,0.7
ISM_I_MeanT,0.6432050710379796,14,DGap,0.7
BLM_B_MeanT,0.6262473959672625,15,DGap,0.7
BSM_B_MeanT,0.6158179088290308,16,DGap,0.7
