target,feature,rank_0.3,rho_0.3,rank_0.5,rho_0.5,rank_0.7,rho_0.7,top5_count,mean_rank
DFlow,ASM_A_MeanT,1,1,1,1,1,1,3,1.0
DFlow,ALM_A_MeanT,2,1,2,1,2,1,3,2.0
DFlow,ALD_A_SDevT,3,1,3,1,3,1,3,3.0
DFlow,CLD_C_SDevT,4,1,4,1,4,1,3,4.0
DFlow,ILD_I_SDevT,5,1,5,1,5,1,3,5.0
DFlow,BLD_B_SDevT,6,0,6,0,6,0,0,6.0
DFlow,CLM_C_MeanT,7,0,7,0,7,0,0,7.0
DFlow,ASD_A_SDevT,9,0,8,0,8,0,0,8.333333333333334
DFlow,CSD_C_SDevT,8,0,9,0,10,0,0,9.0
DFlow,ILM_I_MeanT,10,0,10,0,9,0,0,9.666666666666666
DFlow,ISD_I_SDevT,11,0,11,0,12,0,0,11.333333333333334
DFlow,ISM_I_MeanT,12,0,12,0,11,0,0,11.666666666666666
DFlow,CSM_C_MeanT,13,0,13,0,13,0,0,13.0
DFlow,BSD_B_SDevT,14,0,14,0,14,0,0,14.0
DFlow,BLM_B_MeanT,15,0,15,0,15,0,0,15.0
DFlow,BSM_B_MeanT,16,0,16,0,16,0,0,16.0
DGap,CSM_C_MeanT,1,1,1,1,1,1,3,1.0
DGap,CLM_C_MeanT,2,1,2,1,2,1,3,2.0
DGap,BLD_B_SDevT,3,1,3,1,3,1,3,3.0
DGap,ILD_I_SDevT,5,1,4,1,4,1,3,4.333333333333333
DGap,CSD_C_SDevT,4,1,5,1,6,0,2,5.0
DGap,CLD_C_SDevT,6,0,6,0,5,1,1,5.666666666666667
DGap,BSD_B_SDevT,7,0,7,0,7,0,0,7.0
DGap,ALD_A_SDevT,8,0,8,0,8,0,0,8.0
DGap,ISD_I_SDevT,9,0,9,0,9,0,0,9.0
DGap,ASD_A_SDevT,10,0,10,0,10,0,0,10.0
DGap,ASM_A_MeanT,11,0,11,0,11,0,0,11.0
DGap,ALM_A_MeanT,12,0,12,0,12,0,0,12.0
DGap,ILM_I_MeanT,13,0,13,0,13,0,0,13.0
DGap,ISM_I_MeanT,14,0,14,0,14,0,0,14.0
DGap,BLM_B_MeanT,15,0,15,0,15,0,0,15.0
DGap,BSM_B_MeanT,16,0,16,0,16,0,0,16.0
