target,model_type,feature,gra_rank,gra_degree,xgb_rank,importance,shap_rank,mean_abs_shap,mean_signed_shap,direction
DFlow,optimized,ASM_A_MeanT,1,0.7353717338177966,1,0.25957373,1,0.09710174,0.004718007,Positive
DFlow,optimized,ALD_A_SDevT,3,0.695457846708373,2,0.21311934,2,0.0889241,0.0010139401,Positive
DFlow,optimized,ILD_I_SDevT,5,0.6811041754510346,3,0.20125894,3,0.061508253,-0.0072937864,Negative
DFlow,optimized,ALM_A_MeanT,2,0.7004205690152052,5,0.14676183,4,0.0492612,-0.0061450703,Negative
DFlow,optimized,CLD_C_SDevT,4,0.6817346315961765,4,0.17928609,5,0.04508813,0.0043317387,Positive
DGap,baseline,CSM_C_MeanT,1,0.7291304585282088,3,0.14982529,1,0.21748964,-0.010268859,Negative
DGap,baseline,CLM_C_MeanT,2,0.7169393158217828,5,0.061235808,2,0.09165564,-0.00035895256,Negative
DGap,baseline,ASM_A_MeanT,11,0.6267185149324872,4,0.06305647,3,0.08079025,-0.0062710606,Negative
DGap,baseline,ASD_A_SDevT,10,0.6326107504861319,6,0.04504107,4,0.076443486,0.010315764,Positive
DGap,baseline,ILD_I_SDevT,4,0.6888325017009179,7,0.027453784,5,0.07508602,0.030047413,Positive
DGap,baseline,BSM_B_MeanT,16,0.544465483815047,2,0.22821209,6,0.07414518,0.0011648238,Positive
DGap,baseline,BLM_B_MeanT,15,0.5556013048669413,1,0.27711913,7,0.053525493,0.0016684658,Positive
DGap,baseline,ISM_I_MeanT,14,0.5721759406468565,9,0.0242259,8,0.025170919,-0.0011000602,Negative
DGap,baseline,ALD_A_SDevT,8,0.6696902527121741,11,0.017966893,9,0.02506295,-0.0034482959,Negative
DGap,baseline,ILM_I_MeanT,13,0.5785924723108097,10,0.019236244,10,0.019431135,-0.001504996,Negative
DGap,baseline,ALM_A_MeanT,12,0.6113172423812994,13,0.013484536,11,0.018691355,-0.0015246556,Negative
DGap,baseline,CLD_C_SDevT,6,0.6817687548258797,8,0.024899773,12,0.015382567,-0.0068217306,Negative
DGap,baseline,ISD_I_SDevT,9,0.6557359956881517,12,0.015473557,13,0.0057587335,0.00046971274,Positive
DGap,baseline,BSD_B_SDevT,7,0.6746285964405672,16,0.010106373,14,0.0046636583,-0.0010475534,Negative
DGap,baseline,CSD_C_SDevT,5,0.6827225549156635,14,0.012284584,15,0.0034686492,0.001107732,Positive
DGap,baseline,BLD_B_SDevT,3,0.6918031743232333,15,0.010378545,16,0.0015839516,-3.11628e-05,Negative
