output,case,sample_index,feature,feature_value,shap_value,expected_value
DFlow,high_prediction,8,CLM_C_MeanT,5.7,0.21070595,0.11860498785972595
DFlow,high_prediction,8,ASD_A_SDevT,0.21375,0.20848176,0.11860498785972595
DFlow,high_prediction,8,BSD_B_SDevT,0.28,0.11855205,0.11860498785972595
DFlow,high_prediction,8,ASM_A_MeanT,-4.51,0.07550228,0.11860498785972595
DFlow,high_prediction,8,BSM_B_MeanT,0.74,0.072532885,0.11860498785972595
DFlow,high_prediction,8,BLM_B_MeanT,0.57,0.040084854,0.11860498785972595
DFlow,high_prediction,8,CSM_C_MeanT,5.53,0.029894093,0.11860498785972595
DFlow,high_prediction,8,ALD_A_SDevT,0.21,0.025399378,0.11860498785972595
DFlow,high_prediction,8,CSD_C_SDevT,0.23,0.013029131,0.11860498785972595
DFlow,high_prediction,8,ISD_I_SDevT,0.34,0.012375288,0.11860498785972595
DFlow,high_prediction,8,ILD_I_SDevT,0.56,0.006781899,0.11860498785972595
DFlow,high_prediction,8,BLD_B_SDevT,0.32,0.006216963,0.11860498785972595
DFlow,high_prediction,8,CLD_C_SDevT,0.25,0.005082935,0.11860498785972595
DFlow,high_prediction,8,ISM_I_MeanT,2.11,0.0037967344,0.11860498785972595
DFlow,high_prediction,8,ALM_A_MeanT,-4.72,0.0037947553,0.11860498785972595
DFlow,high_prediction,8,ILM_I_MeanT,1.87,-0.00025444687,0.11860498785972595
DFlow,low_prediction,18,ASM_A_MeanT,-4.46,-0.40171152,0.11860498785972595
DFlow,low_prediction,18,ALM_A_MeanT,-4.54,-0.08057016,0.11860498785972595
DFlow,low_prediction,18,ASD_A_SDevT,0.05,-0.069936216,0.11860498785972595
DFlow,low_prediction,18,CLM_C_MeanT,5.14,-0.067524284,0.11860498785972595
DFlow,low_prediction,18,BSD_B_SDevT,0.02,-0.062198117,0.11860498785972595
DFlow,low_prediction,18,BSM_B_MeanT,1.06,-0.04698644,0.11860498785972595
DFlow,low_prediction,18,ISM_I_MeanT,2.0,-0.035814594,0.11860498785972595
DFlow,low_prediction,18,BLM_B_MeanT,1.07,-0.01182539,0.11860498785972595
DFlow,low_prediction,18,BLD_B_SDevT,0.09,-0.0074273404,0.11860498785972595
DFlow,low_prediction,18,CSM_C_MeanT,5.12,-0.0071143843,0.11860498785972595
DFlow,low_prediction,18,ALD_A_SDevT,0.15,-0.0059780036,0.11860498785972595
DFlow,low_prediction,18,CSD_C_SDevT,0.0,-0.0027031852,0.11860498785972595
DFlow,low_prediction,18,ILD_I_SDevT,0.42,-0.0021318237,0.11860498785972595
DFlow,low_prediction,18,CLD_C_SDevT,0.06,-0.0017537975,0.11860498785972595
DFlow,low_prediction,18,ILM_I_MeanT,2.38,-0.00039195997,0.11860498785972595
DFlow,low_prediction,18,ISD_I_SDevT,0.19,-0.00039174006,0.11860498785972595
DGap,high_prediction,22,CSM_C_MeanT,5.83,0.26417765,-0.017185153439641
DGap,high_prediction,22,CLM_C_MeanT,5.74,0.13305971,-0.017185153439641
DGap,high_prediction,22,ASD_A_SDevT,0.05,0.12137258,-0.017185153439641
DGap,high_prediction,22,ASM_A_MeanT,-4.75,0.10380689,-0.017185153439641
DGap,high_prediction,22,BSM_B_MeanT,0.44,0.09330136,-0.017185153439641
DGap,high_prediction,22,ILD_I_SDevT,0.43,0.082323186,-0.017185153439641
DGap,high_prediction,22,BLM_B_MeanT,0.54,0.05386522,-0.017185153439641
DGap,high_prediction,22,CLD_C_SDevT,0.19,0.046900358,-0.017185153439641
DGap,high_prediction,22,ILM_I_MeanT,1.93,-0.038104117,-0.017185153439641
DGap,high_prediction,22,ISD_I_SDevT,0.26,0.030964497,-0.017185153439641
DGap,high_prediction,22,CSD_C_SDevT,0.06,0.015685106,-0.017185153439641
DGap,high_prediction,22,ALM_A_MeanT,-4.72,0.010157655,-0.017185153439641
DGap,high_prediction,22,ALD_A_SDevT,0.08,-0.008186149,-0.017185153439641
DGap,high_prediction,22,BSD_B_SDevT,0.08,0.007342997,-0.017185153439641
DGap,high_prediction,22,ISM_I_MeanT,1.67,0.003393842,-0.017185153439641
DGap,high_prediction,22,BLD_B_SDevT,0.23,0.0019468353,-0.017185153439641
DGap,low_prediction,9,CSM_C_MeanT,5.12,-0.34132257,-0.017185153439641
DGap,low_prediction,9,ALM_A_MeanT,-4.56,-0.052928753,-0.017185153439641
DGap,low_prediction,9,CLM_C_MeanT,5.13,-0.051982082,-0.017185153439641
DGap,low_prediction,9,ILD_I_SDevT,0.17,-0.03721144,-0.017185153439641
DGap,low_prediction,9,BLM_B_MeanT,1.1,-0.03518928,-0.017185153439641
DGap,low_prediction,9,ALD_A_SDevT,0.11,-0.03505009,-0.017185153439641
DGap,low_prediction,9,ASM_A_MeanT,-4.51,-0.033606198,-0.017185153439641
DGap,low_prediction,9,BSM_B_MeanT,1.09,-0.032864857,-0.017185153439641
DGap,low_prediction,9,ISM_I_MeanT,2.23,-0.032049343,-0.017185153439641
DGap,low_prediction,9,ASD_A_SDevT,0.11,-0.012456223,-0.017185153439641
DGap,low_prediction,9,CLD_C_SDevT,0.04,-0.011068964,-0.017185153439641
DGap,low_prediction,9,BLD_B_SDevT,0.04,0.009793332,-0.017185153439641
DGap,low_prediction,9,BSD_B_SDevT,0.03,-0.008381395,-0.017185153439641
DGap,low_prediction,9,ISD_I_SDevT,0.16,-0.0052569476,-0.017185153439641
DGap,low_prediction,9,CSD_C_SDevT,0.0,0.0036183286,-0.017185153439641
DGap,low_prediction,9,ILM_I_MeanT,2.36,0.0028075976,-0.017185153439641
