output,feature,mean_abs_shap,mean_signed_shap,shap_rank
DFlow,ASM_A_MeanT,0.070980474,0.0031847213,1
DFlow,ASD_A_SDevT,0.06589894,0.0025811659,2
DFlow,CLM_C_MeanT,0.06371642,0.004558151,3
DFlow,BSD_B_SDevT,0.04989412,-0.0016385632,4
DFlow,BSM_B_MeanT,0.03129054,-0.009649517,5
DFlow,BLM_B_MeanT,0.014125564,-0.0007814758,6
DFlow,ALD_A_SDevT,0.013178672,-0.0021575922,7
DFlow,ISM_I_MeanT,0.009805797,-0.0024656695,8
DFlow,ALM_A_MeanT,0.008480196,-0.0010418996,9
DFlow,CSM_C_MeanT,0.0076149376,0.0005632897,10
DFlow,CSD_C_SDevT,0.006915934,0.0011605974,11
DFlow,ISD_I_SDevT,0.004277306,0.0013959336,12
DFlow,CLD_C_SDevT,0.0035685939,-0.00040803326,13
DFlow,BLD_B_SDevT,0.0026568696,8.834129e-05,14
DFlow,ILD_I_SDevT,0.0022631688,0.00029829945,15
DFlow,ILM_I_MeanT,0.0007590834,3.4852455e-05,16
DGap,CSM_C_MeanT,0.25350425,0.0020120682,1
DGap,ILD_I_SDevT,0.08402773,0.042049125,2
DGap,CLM_C_MeanT,0.08133002,-0.009508799,3
DGap,ASM_A_MeanT,0.0718731,-0.006975691,4
DGap,ASD_A_SDevT,0.07103036,0.009167467,5
DGap,BSM_B_MeanT,0.069257975,-0.0007997213,6
DGap,BLM_B_MeanT,0.043140523,-0.0040401253,7
DGap,ALD_A_SDevT,0.03043316,-0.0044586146,8
DGap,ISM_I_MeanT,0.030087046,-0.0012174865,9
DGap,ILM_I_MeanT,0.029561736,0.004127325,10
DGap,CLD_C_SDevT,0.02580633,-0.01255258,11
DGap,ALM_A_MeanT,0.021504838,-0.0020145425,12
DGap,ISD_I_SDevT,0.016497346,0.0026826395,13
DGap,BSD_B_SDevT,0.011902882,-0.0031497737,14
DGap,CSD_C_SDevT,0.010008704,0.0038323635,15
DGap,BLD_B_SDevT,0.009920766,-4.409031e-05,16
