feature,shared_contribution,differential_contribution,direction_correlation,abs_direction_correlation,driver_type
CSM_C_MeanT,0.13055959343910217,0.24588929116725922,0.1903733603947254,0.1903733603947254,differential_driver
CLM_C_MeanT,0.07252323627471924,0.05311291664838791,0.6220884567184005,0.6220884567184005,differential_driver
ASM_A_MeanT,0.07142674922943115,0.03734738007187843,-0.598210925187483,0.598210925187483,compensatory_driver
ASD_A_SDevT,0.06846462935209274,0.02890235185623169,-0.9102071620556967,0.9102071620556967,compensatory_driver
BSM_B_MeanT,0.050274260342121124,0.04932986944913864,0.5993266618420259,0.5993266618420259,differential_driver
ILD_I_SDevT,0.043145447969436646,0.08176524937152863,-0.1072266503273456,0.1072266503273456,differential_driver
BSD_B_SDevT,0.030898509547114372,0.03867883235216141,0.13798798307165802,0.13798798307165802,mixed_driver
BLM_B_MeanT,0.02863304316997528,0.03163643181324005,0.6421239107318059,0.6421239107318059,mixed_driver
ALD_A_SDevT,0.021805917844176292,0.022770335897803307,-0.18218207897477276,0.18218207897477276,mixed_driver
ISM_I_MeanT,0.019946424290537834,0.027017928659915924,-0.12063893192659235,0.12063893192659235,mixed_driver
ILM_I_MeanT,0.015160411596298218,0.02880476601421833,-0.012356675840960549,0.012356675840960549,mixed_driver
ALM_A_MeanT,0.014992519281804562,0.01740102656185627,0.48038173523002325,0.48038173523002325,mixed_driver
CLD_C_SDevT,0.014687458984553814,0.022695891559123993,0.05045820944567883,0.05045820944567883,mixed_driver
ISD_I_SDevT,0.01038732286542654,0.014075667597353458,-0.08581365923640057,0.08581365923640057,mixed_driver
CSD_C_SDevT,0.008462319150567055,0.008537386544048786,-0.3782467820764155,0.3782467820764155,compensatory_driver
BLD_B_SDevT,0.006288818083703518,0.00810038112103939,-0.5375475235326335,0.5375475235326335,compensatory_driver
