dataset,method,setting_type,rmse_dflow,mae_dflow,r2_dflow,rmse_dgap,mae_dgap,r2_dgap,joint_rmse_mean,joint_mae_mean,joint_r2_mean,collaboration_rmse,accuracy_dflow,accuracy_dgap,joint_pair_accuracy
train,base_joint_prediction,continuous,0.1383268476521252,0.06978482626401251,0.8772336392767552,0.2281722744758268,0.1829013488430774,0.8813415371656564,0.183249561063976,0.12634308755354495,0.8792875882212059,0.9245689644736664,,,
train,base_joint_prediction,discrete,0.15617376188860607,0.024390243902439025,0.8435114503816794,0.15617376188860607,0.024390243902439025,0.9444109671587828,0.15617376188860607,0.024390243902439025,0.8939612087702311,0.999266816921194,0.975609756097561,0.975609756097561,0.9512195121951219
test,base_joint_prediction,continuous,0.28558828840030953,0.16093830049278274,0.49104023166861643,0.39345691474358396,0.33305342243083064,0.644088951308809,0.33952260157194675,0.2469958614618067,0.5675645914887127,0.8216383639463488,,,
test,base_joint_prediction,discrete,0.3592106040535498,0.12903225806451613,0.19480519480519454,0.43994134506405985,0.1935483870967742,0.5550239234449761,0.39957597455880484,0.16129032258064516,0.3749145591250853,0.9499855428611234,0.8709677419354839,0.8064516129032258,0.7096774193548387
train,full_joint_recommendation,continuous,0.17437003569647913,0.1332279334919781,0.8049211732239757,0.24279983117557918,0.19643615300878534,0.8656400802850583,0.20858493343602916,0.1648320432503817,0.835280626754517,0.8213554078513807,,,
train,full_joint_recommendation,discrete,0.12751534261266767,0.016260162601626018,0.8956743002544529,0.15617376188860607,0.024390243902439025,0.9444109671587828,0.14184455225063686,0.02032520325203252,0.9200426337066179,0.9766916024013927,0.983739837398374,0.975609756097561,0.959349593495935
test,full_joint_recommendation,continuous,0.31384471876816417,0.22236428314514278,0.3853437291803894,0.3961086254912015,0.33295097682284586,0.6392754461622576,0.35497667212968287,0.27765762998399435,0.5123095876713235,0.7299153867243582,,,
test,full_joint_recommendation,discrete,0.3592106040535498,0.12903225806451613,0.19480519480519454,0.43994134506405985,0.1935483870967742,0.5550239234449761,0.39957597455880484,0.16129032258064516,0.3749145591250853,0.9499855428611234,0.8709677419354839,0.8064516129032258,0.7096774193548387
train,simplified_forward_recommendation,continuous,0.1383268476521252,0.06978482626401251,0.8772336392767552,0.24398210932214717,0.19737390563688428,0.8643284027076529,0.19115447848713618,0.1335793659504484,0.870781020992204,0.8701825547987448,,,
train,simplified_forward_recommendation,discrete,0.15617376188860607,0.024390243902439025,0.8435114503816794,0.15617376188860607,0.024390243902439025,0.9444109671587828,0.15617376188860607,0.024390243902439025,0.8939612087702311,0.9789308160083499,0.975609756097561,0.975609756097561,0.9512195121951219
test,simplified_forward_recommendation,continuous,0.28558828840030953,0.16093830049278274,0.49104023166861643,0.3964310543783,0.33310904684671405,0.6386879540159174,0.34100967138930477,0.2470236736697484,0.5648640928422669,0.7733066954789166,,,
test,simplified_forward_recommendation,discrete,0.3592106040535498,0.12903225806451613,0.19480519480519454,0.43994134506405985,0.1935483870967742,0.5550239234449761,0.39957597455880484,0.16129032258064516,0.3749145591250853,0.9499855428611234,0.8709677419354839,0.8064516129032258,0.7096774193548387
