sample_index,DFlow_actual,DGap_actual,DFlow_base_pred,DGap_base_pred,DFlow_recommended_discrete,DGap_recommended_discrete,delta_DFlow_continuous,delta_DGap_continuous,joint_adjustment_abs
77,0.0,-1.0,-0.006738463,-0.90100604,0.0,-1.0,0.18308643791238852,0.0910618783944902,0.27414831630687875
14,0.0,-1.0,-0.020637676,-0.887753,0.0,-1.0,0.18297254041762495,0.09100522908755149,0.27397776950517644
40,0.0,-1.0,0.0003864142,-0.90001166,0.0,-1.0,0.18259834663074723,0.09081911596248793,0.2734174625932352
16,0.0,-1.0,-0.0044674813,-0.8907833,0.0,-1.0,0.18192011218223972,0.09048178183999822,0.2724018940222379
39,0.0,-1.0,-0.13061783,-0.81712013,0.0,-1.0,0.1815857078999159,0.09031545885923131,0.2719011667591472
56,0.0,-1.0,-0.0061474466,-0.88118386,0.0,-1.0,0.18086331939131048,0.0899561637892401,0.2708194831805506
60,0.0,-1.0,-0.0067400667,-0.86101115,0.0,-1.0,0.17913728887793098,0.08909768632631765,0.26823497520424866
51,0.0,-1.0,0.00021591844,-0.86419815,0.0,-1.0,0.17910153810858373,0.08907990493165008,0.26818144304023384
138,0.0,-1.0,-0.013888089,-0.84801775,0.0,-1.0,0.17823358225517072,0.08864820889082625,0.26688179114599697
55,0.0,-1.0,0.018419769,-0.8698347,0.0,-1.0,0.17822670599941917,0.08864478884086413,0.2668714948402833
15,0.0,-1.0,-0.017795116,-0.83871585,0.0,-1.0,0.1773426074402291,0.08820506388688232,0.26554767132711143
76,0.0,-1.0,0.01855528,-0.85756165,0.0,-1.0,0.17721226870176737,0.0881402371826916,0.26535250588445897
